date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:02	223287/223287	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:13:01%20GMT	https://demo.vehica.com/	C:/Users/dell/Desktop/barath/automa11/demo.vehica.com/index.html	(from )
17:43:02	31/31	---M--	200	added ('OK')	text/plain	etag:%221f-6084fd67-5fa187;;;%22	https://demo.vehica.com/robots.txt		(from )
17:43:02	12098/12098	---M-Z	200	added ('OK')	application/x-javascript	etag:%222f42-6335a315-ee7503;gz%22	https://demo.vehica.com/wp-content/plugins/litespeed-cache/assets/js/webfontloader.min.js	C:/Users/dell/Desktop/barath/automa11/demo.vehica.com/wp-content/plugins/litespeed-cache/assets/js/webfontloader.min.js	(from https://demo.vehica.com/)
17:43:04	873873/873873	---M-Z	200	added ('OK')	text/css	etag:%22d5591-6335a393-ce9a42;gz%22	https://demo.vehica.com/wp-content/litespeed/css/f4db3320a8852ac16401ea26a33a0c55.css?ver=c896e	C:/Users/dell/Desktop/barath/automa11/demo.vehica.com/wp-content/litespeed/css/f4db3320a8852ac16401ea26a33a0c554c85.css	(from https://demo.vehica.com/)
17:43:04	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2027%20Oct%202022%2012:13:03%20GMT	https://demo.vehica.com/xmlrpc.php	C:/Users/dell/Desktop/barath/automa11/demo.vehica.com/xmlrpc.php	(from https://demo.vehica.com/)
17:43:06	211640/211640	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2233ab8-6335a313-ee486b;gz%22	https://demo.vehica.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.16.0	C:/Users/dell/Desktop/barath/automa11/demo.vehica.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.eot	(from https://demo.vehica.com/wp-content/litespeed/css/f4db3320a8852ac16401ea26a33a0c55.css?ver=c896e)
17:43:06	93372/93372	---M--	200	added ('OK')	font/woff2	etag:%2216cbc-6335a313-ee4869;;;%22	https://demo.vehica.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.16.0	C:/Users/dell/Desktop/barath/automa11/demo.vehica.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.woff2	(from https://demo.vehica.com/wp-content/litespeed/css/f4db3320a8852ac16401ea26a33a0c55.css?ver=c896e)
17:43:07	114280/114280	---M--	200	added ('OK')	application/font-woff	etag:%221be68-6335a313-ee4866;;;%22	https://demo.vehica.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.16.0	C:/Users/dell/Desktop/barath/automa11/demo.vehica.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.woff	(from https://demo.vehica.com/wp-content/litespeed/css/f4db3320a8852ac16401ea26a33a0c55.css?ver=c896e)
17:43:07	211480/211480	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2233a18-6335a313-ee486a;gz%22	https://demo.vehica.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.16.0	C:/Users/dell/Desktop/barath/automa11/demo.vehica.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.ttf	(from https://demo.vehica.com/wp-content/litespeed/css/f4db3320a8852ac16401ea26a33a0c55.css?ver=c896e)
17:43:07	318907/318907	---M-Z	200	added ('OK')	image/svg+xml	etag:%224ddbb-6335a313-ee4867;gz%22	https://demo.vehica.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.16.0	C:/Users/dell/Desktop/barath/automa11/demo.vehica.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.svg	(from https://demo.vehica.com/wp-content/litespeed/css/f4db3320a8852ac16401ea26a33a0c55.css?ver=c896e)
